"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Registration","Authentication","",""
"","0","Create course","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Courses","Courses","",""
"","0","test_successful_registration[webkit]","tests.authentication","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","","test_successful_registration","",""
"","0","Check displaying of empty courses list","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Courses","Courses","",""
"","0","Navigation from login page to registration page","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","test_successful_registration[chromium]","tests.authentication","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","","test_successful_registration","",""
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Authorization","Authentication","",""
"","0","Edit course","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Courses","Courses","",""
"","0","Check displaying of empty courses list","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Courses","Courses","",""
"","0","Registration with correct email, username and password","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Registration","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Dashboard","Dashboard","",""
"","0","User login with wrong email or password","LMS system","Sun Feb 08 10:40:45 UTC 2026","broken","Sun Feb 08 10:40:45 UTC 2026","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Sun Feb 08 10:40:46 UTC 2026","broken","Sun Feb 08 10:40:46 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Dashboard","Dashboard","",""
"","0","Edit course","LMS system","Sun Feb 08 10:40:47 UTC 2026","broken","Sun Feb 08 10:40:47 UTC 2026","Courses","Courses","",""
